Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Operand<T>,0,3,2,0,3,38,3,0,2,-1,1,0
Operator,3,9,4,0,8,154,13,0,1,0.5600000023841858,5,0
IIntegerValue,0,0,0,0,0,11,0,2,0,-1,0,0
INumericValue,0,0,0,0,0,6,0,0,1,-1,0,0
ITextValue,0,0,0,0,0,6,0,0,0,-1,0,0
IBooleanValue,0,0,0,0,0,5,0,0,0,-1,0,0
Utils,0,14,0,0,14,196,18,0,0,-1,5,9
Variable,1,10,5,0,6,130,12,1,2,0.699999988079071,3,3
Variable<T>,0,5,1,0,4,40,5,0,3,-1,2,0
VariableReadEventArgs,1,1,3,0,1,30,1,0,0,0,0,3
Abs,0,3,3,0,1,48,4,0,3,-1,2,1
Power,0,3,5,0,2,46,3,0,3,-1,1,1
Difference,0,1,2,0,1,24,1,1,1,-1,1,2
Difference<T>,0,3,1,0,2,22,3,0,2,-1,2,0
NativeOperation,1,12,6,0,6,190,22,5,3,0.5,8,0
NativeOperation<T>,1,5,2,0,2,54,6,0,4,1,2,0
Product,0,3,3,0,2,29,3,1,4,-1,0,3
Product<T>,0,5,1,0,3,29,5,0,5,-1,1,0
Quotient,0,3,3,0,2,29,3,1,4,-1,0,1
Quotient<T>,0,5,1,0,3,28,5,0,5,-1,1,0
Sum,0,3,3,0,2,29,3,2,4,-1,0,3
Sum<T>,0,5,1,0,3,32,5,0,5,-1,1,0
CqXmlDocument,0,1,0,0,1,45,3,0,0,-1,2,0
CqXmlNode,5,5,5,0,2,146,8,0,0,0.4000000059604645,4,1
ExtensionMethods,0,2,0,0,1,28,2,0,0,-1,1,0
CqXmlNodeList,2,4,1,0,3,71,5,0,0,0,2,0
BOMReader,5,6,6,0,2,256,12,0,0,0.3300000131130219,1,1
CsQueryTreeBuilder,3,18,0,0,1,447,31,0,0,0.6100000143051147,9,1
ElementFactory,12,19,4,0,4,738,49,0,0,0.1599999964237213,15,2
ReEncodeAction,0,0,0,0,0,11,0,0,0,-1,0,1
HtmlEncoding,1,2,1,0,2,73,4,0,0,0,0,2
HtmlStyles,3,1,0,1,0,69,3,0,0,0,3,1
TokenProperties,0,0,0,0,0,63,0,0,0,-1,0,1
HtmlData,65,29,1,55,22,1324,45,0,0,0.07000000029802322,2,16
IHttpWebRequest,0,11,35,0,0,505,11,2,0,-1,0,7
IHttpWebRequestFactory,0,1,0,0,0,16,1,3,0,-1,0,2
IHttpWebResponse,0,3,15,0,0,194,3,3,0,-1,0,6
BasicAuthHttpWebRequestFactory,2,3,0,0,3,55,3,0,1,0.6700000166893005,2,0
HttpWebRequestFactory,0,2,0,0,2,34,2,0,1,-1,1,0
HttpWebRequestMethod,5,3,0,2,2,51,4,0,0,0.6700000166893005,0,1
WebResponseStub,9,1,9,0,1,151,1,0,1,0,0,1
HttpWebRequestAdapter,1,12,35,0,12,642,12,0,1,0,1,2
HttpWebResponseAdapter,1,5,15,0,5,320,5,0,1,0,1,1
SortedSet<T>,3,47,7,0,26,675,93,0,0,0.7200000286102295,5,0
Node,6,5,2,3,5,85,7,0,0,0.800000011920929,0,7
NodeHelper,2,4,0,1,3,29,5,0,1,0.5,1,2
Enumerator,4,5,2,0,2,54,6,0,0,0,3,2
SortedSubSet,3,12,0,0,5,111,20,0,0,0,5,1
RBTree,4,23,1,0,8,756,71,0,0,0.09000000357627869,3,4
INodeHelper,0,2,0,0,0,5,2,1,0,-1,1,1
NodeEnumerator,4,7,2,0,3,93,14,0,0,0,2,3
HtmlEncoderFull,3,4,0,0,1,135,8,0,1,0.5,1,0
HtmlEncoderMinimumNbsp,0,1,0,0,0,31,2,0,1,-1,1,0
HtmlEncoderNone,0,1,0,0,1,19,1,0,1,-1,0,0
FormatDefault,4,21,1,0,6,558,36,0,1,0,12,3
NodeStackElement,3,1,0,3,1,41,1,0,0,0,1,1
HtmlEncoderMinimum,0,2,0,0,0,58,3,1,1,-1,0,1
HtmlEncoderBase,0,3,0,0,1,93,6,2,1,-1,0,0
HtmlEncoderBasic,0,3,0,0,0,93,4,1,2,-1,0,1
IHtmlEncoder,0,1,0,0,0,16,1,2,0,-1,0,3
IOutputFormatter,0,2,0,0,0,29,2,2,0,-1,1,4
