Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ServiceRecordParser,18,41,2,15,8,1310,81,0,0,0.05000000074505806,7,7
ServiceRecordUtilities,1,21,0,0,4,621,53,0,0,0.1000000014901161,13,2
HackProtocolServiceMultiplexer,0,0,0,0,0,9,0,0,0,-1,0,1
HackProtocolId,0,0,0,0,0,9,0,0,0,-1,0,2
SdpSpecificType,0,0,0,0,0,24,0,0,0,-1,0,0
BluetoothSocketOptionLevel,3,0,0,3,0,15,0,0,0,-1,0,0
BluetoothSocketOptionName,5,0,0,5,0,248,0,0,0,-1,0,0
IrDACharacterSet,0,0,0,0,0,50,0,0,0,-1,0,2
IrDAHints,0,0,0,0,0,65,0,0,0,-1,0,2
IrDASocketOptionLevel,1,0,0,1,0,14,0,0,0,-1,0,1
IrDASocketOptionName,8,0,0,8,0,78,0,0,0,-1,0,1
AddressFamily32,3,0,0,2,0,17,0,0,0,-1,0,5
BluetoothClient,1,28,12,0,21,895,48,0,0,0.25,7,8
BluetoothDeviceInfo,1,25,10,0,13,683,36,0,0,0.3600000143051147,3,13
BluetoothListener,1,31,8,0,20,976,34,0,0,0.3499999940395355,7,4
BluetoothProtocolType,3,0,0,3,0,104,0,0,0,-1,0,3
IrDAClient,4,19,5,0,16,768,41,0,0,0,9,2
IrDADeviceInfo,4,3,5,0,2,105,4,0,0,0.6700000166893005,3,1
IrDAListener,3,13,3,0,12,274,23,0,0,0,4,1
ISocketOptionHelper,0,1,2,0,0,6,1,2,0,-1,1,2
L2CapClient,1,10,1,0,8,235,13,0,0,0,4,1
L2CapListener,1,12,4,0,9,309,15,0,0,0.25,7,0
MonoBluetoothSocket,1,16,0,0,12,190,30,0,0,0,1,0
NativeMethods,1,8,0,0,0,30,8,0,0,0,0,1
SocketAdapter,0,7,3,0,5,27,8,1,0,-1,0,1
SocketClientAdapter,2,3,3,0,3,61,3,0,1,0.6700000166893005,2,1
SocketStreamIOAdapter,1,6,0,0,4,45,9,1,1,0.3300000131130219,0,0
IrDAAttributeType,0,0,0,0,0,18,0,0,0,-1,0,0
IrDAService,3,0,0,3,0,22,0,0,0,-1,0,0
MediaTypeNames,0,0,0,0,0,98,0,0,0,-1,0,0
