Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
EmptyEnumerator<T>,0,3,2,0,3,22,3,0,0,-1,0,0
EmptyEnumerator,0,3,2,0,3,22,3,0,0,-1,0,1
EmptyList<T>,0,10,2,0,9,52,10,0,0,-1,0,0
EmptySet<T>,0,18,2,0,16,79,18,0,0,-1,0,0
SingletonList<T>,1,11,2,0,10,68,12,0,0,0.7300000190734863,0,0
SingletonSet<T>,1,20,2,0,17,113,24,0,0,0.6499999761581421,0,0
UnmodifiableCollection<T>,1,8,2,0,7,43,8,0,0,0.6200000047683716,0,0
"UnmodifiableDictionary<TKey,TValue>",1,12,4,0,11,72,12,0,0,0.5799999833106995,0,0
UnmodifiableList,1,10,5,0,10,68,10,0,0,0.6000000238418579,0,1
UnmodifiableSet<T>,1,19,2,0,17,87,19,0,0,0.5299999713897705,0,0
Adler32,2,1,0,0,0,49,5,0,0,0,0,4
Deflate,113,40,0,0,0,1601,149,0,0,0.05000000074505806,5,2
Config,5,1,0,0,0,15,1,0,0,0,0,1
InfBlocks,41,7,0,0,0,579,21,0,0,0,4,2
InfCodes,34,5,0,0,0,572,7,0,0,0.6000000238418579,2,1
Inflate,40,7,0,0,0,348,24,0,0,0,3,1
InfTree,25,5,0,0,0,484,39,0,0,0,1,1
JZlib,22,1,0,21,1,34,1,0,0,0,0,4
StaticTree,17,1,0,0,0,113,1,0,0,0,0,2
Tree,25,5,0,0,0,328,24,0,0,0.4000000059604645,2,1
ZDeflaterOutputStream,6,12,5,0,11,144,15,1,0,0.3300000131130219,2,1
ZInflaterInputStream,7,10,5,0,9,119,13,0,0,0.5,2,4
ZInputStream,9,10,8,0,9,153,14,0,0,0.5,2,0
ZOutputStream,8,12,8,0,11,176,17,0,0,0.3300000131130219,2,0
ZStream,31,19,0,10,17,175,34,0,0,0,3,9
Border,14,17,0,10,12,415,24,6,0,0.2899999916553497,7,31
Side,0,0,0,0,0,7,0,0,0,-1,0,13
Border3D,1,12,0,0,2,201,15,4,1,0,8,0
DashedBorder,2,8,0,0,7,282,14,0,1,0.25,6,0
DottedBorder,1,8,0,0,7,276,14,0,1,0.25,6,0
DoubleBorder,0,6,0,0,6,213,10,0,1,-1,5,0
GrooveBorder,0,10,0,0,8,120,12,0,2,-1,6,0
InsetBorder,0,10,0,0,8,120,12,0,2,-1,6,0
OutsetBorder,0,10,0,0,8,120,12,0,2,-1,6,0
RidgeBorder,0,10,0,0,8,120,12,0,2,-1,6,0
RoundDotsBorder,1,8,0,0,7,276,13,0,1,0.25,8,0
SolidBorder,0,7,0,0,7,244,9,0,1,-1,6,4
Canvas,3,14,0,0,13,159,19,0,0,0.6399999856948853,8,7
ColumnDocumentRenderer,2,5,0,0,4,75,7,0,1,0,7,0
Document,4,23,0,0,21,282,33,0,0,0.4300000071525574,11,53
ElementPropertyContainer<T>,1,56,0,0,56,735,58,0,1,0.949999988079071,13,0
IPropertyContainer,0,7,0,0,0,82,7,4,0,-1,0,7
LayoutExtensions,0,26,0,0,25,197,41,0,0,-1,0,0
RootElement<T>,8,24,0,0,20,330,34,0,0,0.7099999785423279,25,0
Style,0,40,0,0,40,429,40,0,0,-1,2,8
AbstractElement<T>,3,11,0,0,10,116,20,0,1,0.550000011920929,5,0
AreaBreak,1,7,0,0,6,65,7,0,0,0.7099999785423279,3,7
BlockElement<T>,0,45,0,0,44,484,46,0,1,-1,3,0
Cell,6,15,0,0,13,175,21,0,0,0.4699999988079071,11,25
